학부,표준과정,사업별 교육체계,교육유형,학습유형,교육과정명,공개여부,학습시간,특화 직무 및 Skill set,추천 직무 및 Skill set,공통 필수 직무 및 Skill set,,URL
Project Mgmt,프레젠테이션 기획 및 스피치,,사내과정,오프라인집합,AI를 활용한 프레젠테이션 기획 및 스피치,공개,16,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM,Biz. Consulting - ESG/SHE; Quality Mgmt - PMO,,,https://samsungu.ac.kr/learning/fh4ak5op
Project Mgmt,제안전략 수립 및 제안서 작성,,사내과정,오프라인집합,AI를 활용한 제안전략 수립 및 제안서 작성 실무,공개,16,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Biz. Consulting - ESG/SHE; Software - Front-end; Manufacturing - Factory 기획/설계; Quality Mgmt - PMO,,,https://samsungu.ac.kr/lecture/fztqx8cm
Project Mgmt,사업 타당성 분석,,사내과정,오프라인집합,PM 핵심 마스터링 : 사업 타당성 분석,공개,8,Sales - Sales; Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Architect - Application Archi.; Biz. Consulting - ESG/SHE,,,https://learning.samsung.com/education/0ko3ke7a
Project Mgmt,프로젝트 손익/원가관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 손익/원가관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Solution - ERP Dev.,,,https://edu.samsung.com/training/adg5tj8m
Project Mgmt,요구사항분석 & 정의,,사내과정,오프라인집합,PM 핵심 마스터링 : 요구사항분석 & 정의,공개,8,Domain Expert - Domain Expert; PM - Application PM; Solution - ERP Dev.; Quality Mgmt - PMO,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Biz. Consulting - ESG/SHE; Software - Front-end; Manufacturing - Factory 기획/설계,,,https://learning.samsung.com/education/f7dq1pl9
Project Mgmt,프로젝트 품질관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 품질관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Solution - ERP Dev.,,,https://learning.samsung.com/education/sdcp5edi
Project Mgmt,프로젝트 범위관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 범위관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Biz. Consulting - ESG/SHE; Software - Front-end; Manufacturing - Factory 기획/설계; Solution - ERP Dev.,,,https://academy.samsung.com/program/5hupw4wa
Project Mgmt,프로젝트 일정관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 일정관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Biz. Consulting - ESG/SHE; Software - Front-end; Manufacturing - Factory 기획/설계; Solution - ERP Dev.,,,https://learning.samsung.com/education/oq83mbhe
Project Mgmt,이해관계자 관리,,사내과정,오프라인집합,PM 핵심 마스터링 : 이해관계자 관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,,,,https://samsungu.ac.kr/education/890hop72
Project Mgmt,프로젝트 리스크/이슈 관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 리스크/이슈 관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Biz. Consulting - ERP; Software - Front-end; Solution - ERP Dev.,,,https://samsungu.ac.kr/program/do7d9gnd
Project Mgmt,프로젝트 통합관리,,사내과정,오프라인집합,PM 핵심 마스터링 : PJT 통합관리,공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,Manufacturing - Factory 기획/설계,,,https://academy.samsung.com/course/1u5lard4
Project Mgmt,SKPM Ⅲ (프로젝트 관리 시뮬레이션),,사내과정,오프라인집합,SKPM Ⅲ (프로젝트 관리 시뮬레이션),공개,8,Domain Expert - Domain Expert; PM - Application PM; Quality Mgmt - PMO,,,,https://edu.samsung.com/education/jsqcfm1t
Project Mgmt,SKPM Ⅱ (C&C 프로세스),,사내과정,VOD,SKPM Ⅱ (C&C 프로세스),공개,1,,,Biz. Consulting - ESG/SHE; Biz. Supporting - Biz. Supporting; AIX - AI/Data Dev.; Architect - Application Archi.; Cloud/Infra - System/Network; Sales - Sales; Domain Expert - Domain Expert; Software - Front-end; Manufacturing - Factory 기획/설계; PM - Application PM; 미부여 - 미부여; Solution - ERP Dev.; Quality Mgmt - PMO,,https://learning.samsung.com/learning/hbjfm4dp
